round,stage,changed_target,sample_set,sample_eval_use_count,counted,excluded,metric,value,threshold,verdict,commit
0,探索,変えない（1 度目）,dev,0,160,0,重さ大きいの誤りの件数,24,15 件以下,満たさない,
0,探索,変えない（1 度目）,dev,0,160,0,意味の取り違えの件数（大きい・診断）,16,診断,診断,
0,探索,変えない（1 度目）,dev,0,160,0,指示先の欠落の件数（大きい・診断）,0,診断,診断,
0,探索,変えない（1 度目）,dev,0,160,0,語順と品詞のなぞりの件数（大きい・診断）,0,診断,診断,
0,探索,変えない（1 度目）,dev,0,60,0,応答の噛み合わなさの件数（大きい・診断）,1,診断,診断,
0,探索,変えない（1 度目）,dev,0,160,0,抜けの件数（大きい・診断）,2,診断,診断,
0,探索,変えない（1 度目）,dev,0,160,0,足しの件数（大きい・診断）,0,診断,診断,
0,探索,変えない（1 度目）,dev,0,160,0,固有名の崩れの件数（大きい・診断）,0,診断,診断,
0,探索,変えない（1 度目）,dev,0,160,0,口調の不一致の件数（大きい・診断）,0,診断,診断,
0,探索,変えない（1 度目）,dev,0,160,0,日本語として壊れている件数（大きい・診断）,5,診断,診断,
0,探索,変えない（1 度目）,dev,0,595,3,意味の一致（全体・診断）,0.8399,診断,診断,
0,探索,変えない（1 度目）,dev,0,169,0,意味の一致（前の行を持つ行・診断）,0.8434,診断,診断,
0,探索,変えない（1 度目）,dev,0,595,3,原文への近さの差（診断）,0.0099,診断,診断,
0,探索,変えない（1 度目）,dev,0,595,3,公式訳との判別しにくさ（診断）,0.674,診断,診断,
0,探索,変えない（1 度目）,dev,0,595,3,敬体を含む割合（診断）,7.2,診断,診断,
0,探索,変えない（1 度目）,dev,0,595,3,一人称を書く割合（診断）,17.8,診断,診断,
0,探索,変えない（1 度目）,dev,0,595,3,二人称を書く割合（診断）,12.4,診断,診断,
0,探索,変えない（1 度目）,dev,0,595,3,訳の文字数÷原文の文字数（中央値・診断）,0.500,診断,診断,
0,探索,変えない（1 度目）,dev,0,598,0,破損行の件数（診断）,3,診断,診断,
0,探索,変えない（2 度目）,dev,0,160,0,重さ大きいの誤りの件数,25,15 件以下,満たさない,
0,探索,変えない（2 度目）,dev,0,160,0,意味の取り違えの件数（大きい・診断）,14,診断,診断,
0,探索,変えない（2 度目）,dev,0,160,0,指示先の欠落の件数（大きい・診断）,0,診断,診断,
0,探索,変えない（2 度目）,dev,0,160,0,語順と品詞のなぞりの件数（大きい・診断）,0,診断,診断,
0,探索,変えない（2 度目）,dev,0,60,0,応答の噛み合わなさの件数（大きい・診断）,0,診断,診断,
