round,stage,changed_target,sample_set,sample_eval_use_count,counted,excluded,metric,value,threshold,verdict,commit
0,探索,1度目,開発用,0,18,0,名指し話者で意味と自然さを保って性別を正しく見分けた割合,44.4,,,
0,探索,1度目,開発用,0,18,0,汎用台詞で意味と自然さを保って性別を正しく見分けた割合,33.3,,,
0,探索,1度目,開発用,0,18,0,名指し話者の性別を正しく見分けた割合,61.1,診断,診断,
0,探索,1度目,開発用,0,18,0,汎用台詞の性別を正しく見分けた割合,33.3,診断,診断,
0,探索,2度目,開発用,0,18,0,名指し話者で意味と自然さを保って性別を正しく見分けた割合,44.4,,,
0,探索,2度目,開発用,0,18,0,汎用台詞で意味と自然さを保って性別を正しく見分けた割合,33.3,,,
p,探索,性別を対にしたfew-shotを4例追加,開発用,0,18,0,名指し話者で意味と自然さを保って性別を正しく見分けた割合,77.8,83.3以上,満たさない,
p,探索,性別を対にしたfew-shotを4例追加,開発用,0,18,0,汎用台詞で意味と自然さを保って性別を正しく見分けた割合,61.1,72.2以上,満たさない,
p,探索,性別を対にしたfew-shotを4例追加,開発用,0,18,0,名指し話者の性別を正しく見分けた割合,83.3,診断,診断,
p,探索,性別を対にしたfew-shotを4例追加,開発用,0,18,0,汎用台詞の性別を正しく見分けた割合,77.8,診断,診断,
p,探索,性別を対にしたfew-shotを4例追加,開発用,0,18,0,名指し話者で意味を両方の訳が保った割合,88.9,診断,診断,
p,探索,性別を対にしたfew-shotを4例追加,開発用,0,18,0,汎用台詞で意味を両方の訳が保った割合,83.3,診断,診断,
p,探索,性別を対にしたfew-shotを4例追加,開発用,0,18,0,名指し話者で戯画的な性別表現が無い割合,100.0,診断,診断,
p,探索,性別を対にしたfew-shotを4例追加,開発用,0,18,0,汎用台詞で戯画的な性別表現が無い割合,100.0,診断,診断,
0,探索,現行指示1度目,組み合わせ開発用,0,72,0,全属性が明確に現れた割合,0.0,,,
0,探索,現行指示2度目,組み合わせ開発用,0,72,0,全属性が明確に現れた割合,0.0,,,
p-labels,探索,属性名4行だけ,組み合わせ開発用,0,72,0,全属性が明確に現れた割合,0.0,,満たさない,
p-instruction,探索,マトリクス統合指示と現行1例,組み合わせ開発用,0,72,0,全属性が明確に現れた割合,0.0,,満たさない,
